Cluster_size,new_trigger,type1,type2
62,1,8,53
62,7,21,34
62,14,23,25
62,15,36,11
61,1,43,17
61,1,30,30
61,32,25,4
61,1,26,34
61,1,22,38
61,1,33,27
61,8,53,0
61,1,9,51
61,1,7,53
61,32,28,1
61,1,17,43
61,36,23,2
61,1,3,57
61,1,11,49
61,1,5,55
61,1,11,49
61,17,29,15
61,1,15,45
61,2,57,2
61,1,13,47
61,1,14,46
61,21,32,8
61,1,19,41
61,1,15,45
61,14,40,7
61,1,10,50
61,23,32,6
61,27,28,6
61,1,24,36
61,19,39,3
61,1,10,50
61,4,18,39
61,42,16,3
61,1,14,46
61,1,7,53
61,3,53,5
61,5,20,36
61,11,21,29
61,10,20,31
60,1,20,39
60,1,14,45
60,1,34,25
60,40,19,1
60,7,46,7
60,6,4,50
60,8,52,0
60,14,37,9
60,44,14,2
60,3,19,38
60,1,10,49
60,5,8,47
60,3,57,0
60,1,4,55
60,15,42,3
60,6,20,34
60,49,8,3
60,1,30,29
60,1,3,56
60,8,43,9
60,7,30,23
60,1,28,31
60,1,15,44
60,1,25,34
60,21,32,7
60,46,13,1
60,1,9,50
60,1,36,23
60,1,10,49
60,1,32,27
60,10,49,1
60,1,6,53
60,1,33,26
60,7,19,34
60,5,55,0
60,16,17,27
60,7,19,34
60,4,19,37
59,1,29,29
59,31,27,1
59,1,36,22
59,1,11,47
59,2,40,17
59,1,14,44
59,5,54,0
59,8,14,37
59,1,10,48
59,1,4,54
59,38,19,2
59,4,17,38
