Cluster tag,size
50.87.182.95,89
0.86.78.23,89
67.222.39.62,89
0.87.125.132,89
0.87.47.217,89
0.86.252.177,89
0.87.98.48,89
0.86.26.122,89
0.86.7.149,89
0.88.3.98,89
1.39.91.255,89
0.87.127.94,88
0.85.240.141,88
0.86.44.168,88
67.20.113.54,88
0.87.94.92,88
0.87.224.198,88
50.87.217.13,88
0.87.127.245,88
0.91.168.96,88
0.99.214.181,88
0.214.95.81,88
0.215.134.54,88
0.216.156.26,88
0.236.183.255,88
0.85.195.135,87
192.185.4.91,87
0.86.224.159,87
192.185.4.16,87
0.86.70.205,87
0.87.4.206,87
0.87.191.184,87
0.86.240.93,87
67.20.113.35,87
67.20.112.229,87
0.86.66.186,87
0.85.187.194,87
0.86.7.25,87
162.241.248.14,87
0.91.13.153,87
0.86.165.210,87
50.87.238.109,87
0.216.165.211,87
0.215.57.167,87
0.85.188.46,86
0.85.195.139,86
0.86.75.1,86
0.86.7.20,86
0.86.239.9,86
0.100.11.184,86
0.87.199.218,86
0.89.144.162,86
0.87.129.120,86
0.153.9.21,86
0.215.3.45,86
0.215.131.40,86
0.216.166.233,86
0.85.193.85,85
0.85.219.77,85
0.85.229.138,85
192.185.4.42,85
0.86.6.113,85
192.185.4.79,85
0.86.155.171,85
50.87.238.54,85
0.87.174.28,85
0.86.114.93,85
192.254.250.186,85
0.86.57.110,85
0.88.24.13,85
0.86.78.208,85
0.88.79.184,85
0.102.10.164,85
0.86.54.20,85
173.254.28.244,85
67.20.113.227,85
69.195.79.234,85
0.86.110.40,85
0.216.33.5,85
0.219.137.229,85
0.85.232.110,84
67.20.76.53,84
173.254.31.123,84
50.87.136.52,84
0.86.190.108,84
0.85.203.15,84
192.185.4.157,84
0.87.10.141,84
173.254.28.231,84
0.87.46.237,84
192.185.4.32,84
0.85.193.238,84
0.87.177.192,84
